Strain_ID,All_Zeros,All_Ones,Single_Positive,Single_Negative,Nearly_Zero,Nearly_One,Perfect_Pos_A,Perfect_Pos_B,Perfect_Neg_A,Perfect_Neg_B,Moderate_50,Moderate_25,Moderate_75,Alternating
EDGE_000,0,1,1,0,1,0,1,1,0,1,0,1,1,0
EDGE_001,0,1,0,1,0,1,0,0,0,1,1,0,0,1
EDGE_002,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_003,0,1,0,1,0,1,0,0,1,0,0,0,0,1
EDGE_004,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_005,0,1,0,1,0,1,1,1,1,0,1,0,0,1
EDGE_006,0,1,0,1,0,1,0,0,1,0,0,1,1,0
EDGE_007,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_008,0,1,0,1,0,1,1,1,1,0,0,1,0,0
EDGE_009,0,1,0,1,0,1,1,1,0,1,0,1,1,1
EDGE_010,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_011,0,1,0,1,0,1,0,0,0,1,1,1,1,1
EDGE_012,0,1,0,1,0,1,0,0,0,1,0,0,0,0
EDGE_013,0,1,0,1,0,1,0,0,0,1,1,0,0,1
EDGE_014,0,1,0,1,0,1,0,0,1,0,0,0,1,0
EDGE_015,0,1,0,1,0,1,1,1,1,0,0,0,0,1
EDGE_016,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_017,0,1,0,1,0,1,1,1,0,1,1,0,0,1
EDGE_018,0,1,0,1,0,1,1,1,1,0,0,1,1,0
EDGE_019,0,1,0,1,0,1,0,0,1,0,0,0,1,1
EDGE_020,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_021,0,1,0,1,0,1,0,0,1,0,1,1,0,1
EDGE_022,0,1,0,1,0,1,0,0,1,0,0,1,1,0
EDGE_023,0,1,0,1,0,1,1,1,0,1,1,1,0,1
EDGE_024,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_025,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_026,0,1,0,1,0,1,1,1,0,1,1,1,1,0
EDGE_027,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_028,0,1,0,1,0,1,1,1,0,1,1,1,1,0
EDGE_029,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_030,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_031,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_032,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_033,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_034,0,1,0,1,0,1,1,1,0,1,1,1,1,0
EDGE_035,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_036,0,1,0,1,0,1,1,1,0,1,1,0,0,0
EDGE_037,0,1,0,1,0,1,0,0,1,0,1,1,1,1
EDGE_038,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_039,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_040,0,1,0,1,0,1,1,1,0,1,0,0,0,0
EDGE_041,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_042,0,1,0,1,0,1,1,1,1,0,0,0,0,0
EDGE_043,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_044,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_045,0,1,0,1,0,1,1,1,0,1,0,1,1,1
EDGE_046,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_047,0,1,0,1,0,1,1,1,0,1,0,0,0,1
EDGE_048,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_049,0,1,0,1,0,1,0,0,0,1,0,1,1,1
EDGE_050,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_051,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_052,0,1,0,1,0,1,0,0,1,0,0,0,1,0
EDGE_053,0,1,0,1,0,1,0,0,1,0,0,0,1,1
EDGE_054,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_055,0,1,0,1,0,1,0,0,1,0,1,1,1,1
EDGE_056,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_057,0,1,0,1,0,1,0,0,0,1,1,1,1,1
EDGE_058,0,1,0,1,0,1,0,0,1,0,1,1,0,0
EDGE_059,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_060,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_061,0,1,0,1,0,1,0,0,0,1,1,0,1,1
