Strain_ID,Oxytetracycline,Doxycycline,Tulathromycin,Spectinomycin,Gentamicin,Tiamulin,Trimethoprim_Sulphamethoxazole,Enrofloxacin,Penicillin,Ampicillin,Amoxicillin_Clavulanic_acid,Ceftiofur,Florfenicol
Strain_0001,1,0,1,1,0,0,1,0,0,1,0,1,1
Strain_0002,0,1,0,0,1,0,0,0,1,1,0,0,0
Strain_0003,0,0,0,1,1,0,1,0,1,0,0,0,1
Strain_0004,1,1,0,0,1,1,1,0,0,0,0,1,1
Strain_0005,1,1,0,1,0,1,0,0,1,1,0,0,0
Strain_0006,1,1,0,1,1,1,1,0,1,1,0,1,1
Strain_0007,0,0,1,0,1,1,1,0,1,1,1,0,1
Strain_0008,0,0,1,1,0,0,0,1,1,0,0,0,0
Strain_0009,0,0,1,0,1,1,0,1,0,1,0,1,0
Strain_0010,0,0,0,1,1,1,1,0,0,1,0,0,1
Strain_0011,1,0,0,1,0,0,0,1,1,1,1,0,1
Strain_0012,1,1,0,0,1,1,1,0,1,0,0,0,0
Strain_0013,0,0,0,0,1,1,1,1,1,1,0,0,0
Strain_0014,0,1,0,1,1,1,0,0,1,0,1,1,1
Strain_0015,1,0,1,0,0,1,0,0,0,1,0,0,1
Strain_0016,1,1,0,0,1,0,1,0,1,0,0,1,0
Strain_0017,1,0,1,0,0,1,1,0,0,1,1,0,0
Strain_0018,0,0,0,0,0,1,0,1,1,0,1,0,1
Strain_0019,0,0,1,1,1,1,1,0,0,0,0,1,0
Strain_0020,0,0,1,0,0,0,0,0,1,0,0,1,1
Strain_0021,1,1,1,1,1,0,0,0,1,1,1,1,1
Strain_0022,1,0,0,1,1,1,0,0,0,1,0,0,0
Strain_0023,0,1,0,0,1,1,1,0,1,1,0,0,0
Strain_0024,1,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0025,1,1,1,1,0,1,0,0,0,1,0,1,0
Strain_0026,1,0,1,1,1,1,0,1,1,1,0,0,1
Strain_0027,0,1,0,1,1,1,1,0,0,1,0,0,1
Strain_0028,1,0,0,1,1,0,0,0,0,1,0,0,0
Strain_0029,1,0,1,0,0,0,0,0,0,1,0,1,1
Strain_0030,0,1,0,1,1,0,0,0,0,0,0,1,1
Strain_0031,1,0,0,0,1,1,0,0,0,0,1,0,1
Strain_0032,0,1,1,0,1,1,1,0,1,1,0,1,0
Strain_0033,1,0,1,0,0,1,1,0,0,0,1,0,1
Strain_0034,0,0,0,1,1,1,0,1,1,0,0,0,0
Strain_0035,0,1,1,1,1,0,0,1,1,1,1,1,1
Strain_0036,0,0,1,1,0,1,1,0,0,0,0,0,1
Strain_0037,1,0,0,0,1,1,0,0,1,1,0,0,1
Strain_0038,0,0,0,0,1,0,0,0,1,1,0,0,1
Strain_0039,1,1,0,0,1,0,0,1,0,0,0,0,1
Strain_0040,0,1,0,0,0,1,0,0,1,0,0,1,1
Strain_0041,0,1,0,0,0,0,1,0,0,1,0,0,1
Strain_0042,0,0,1,0,1,1,0,1,0,0,0,0,1
Strain_0043,1,0,1,0,1,0,1,0,1,0,0,0,0
Strain_0044,1,0,1,0,1,0,0,0,0,0,0,0,1
Strain_0045,0,0,1,0,1,1,0,0,1,1,0,0,1
Strain_0046,1,1,0,1,0,1,1,1,1,1,0,1,1
Strain_0047,0,1,0,0,1,0,0,0,1,1,1,0,0
Strain_0048,0,0,0,0,1,1,0,0,0,1,0,0,1
Strain_0049,0,1,0,0,0,1,0,0,0,1,1,1,1
Strain_0050,0,0,0,0,1,1,1,0,0,1,0,1,1
Strain_0051,1,0,0,1,1,1,0,0,1,0,0,0,0
Strain_0052,0,0,1,1,1,1,0,0,1,1,0,0,0
Strain_0053,0,1,0,0,1,1,0,0,0,1,0,1,0
Strain_0054,0,0,0,0,0,0,0,0,1,1,0,0,1
Strain_0055,0,0,0,0,0,1,1,0,0,1,0,1,1
Strain_0056,0,0,1,0,1,0,0,0,0,1,0,0,1
Strain_0057,1,1,1,1,1,0,1,0,1,0,0,0,1
Strain_0058,1,1,0,0,0,0,1,0,1,1,1,0,0
Strain_0059,0,1,1,0,0,0,0,0,1,1,0,0,0
Strain_0060,0,0,1,0,1,0,1,1,1,0,0,0,1
Strain_0061,1,1,0,0,1,0,1,1,0,0,0,0,1
Strain_0062,0,1,0,0,0,0,0,0,0,0,0,0,1
Strain_0063,0,0,0,0,1,1,1,0,0,0,1,1,1
Strain_0064,0,1,1,1,1,1,1,1,0,1,1,0,1
Strain_0065,0,0,1,1,0,0,0,0,1,1,0,0,1
Strain_0066,0,0,0,1,1,1,0,0,0,1,0,1,0
Strain_0067,0,0,1,1,0,1,0,0,0,1,0,1,0
Strain_0068,1,0,0,0,1,1,0,1,1,1,0,1,0
Strain_0069,0,1,0,0,0,1,1,0,0,1,0,1,1
Strain_0070,0,0,0,0,1,1,0,1,1,0,0,1,1
Strain_0071,0,0,0,1,1,1,0,0,1,1,1,0,0
Strain_0072,0,0,1,1,1,0,0,0,0,1,1,1,0
Strain_0073,1,0,1,0,0,1,1,0,0,1,1,1,0
Strain_0074,0,0,0,1,1,1,0,0,0,1,1,1,1
Strain_0075,0,0,1,0,1,0,0,0,0,1,1,0,0
Strain_0076,0,0,0,1,0,1,0,1,1,1,1,0,1
Strain_0077,0,0,0,1,0,1,1,0,1,1,0,1,1
Strain_0078,1,0,0,0,1,0,1,0,0,0,0,1,0
Strain_0079,0,0,1,0,1,1,0,0,0,0,0,0,1
Strain_0080,0,1,1,1,0,1,0,1,1,0,0,0,1
Strain_0081,0,1,0,0,1,0,1,0,1,1,1,0,0
Strain_0082,1,0,1,1,1,0,1,0,1,0,0,1,1
Strain_0083,0,0,1,1,0,1,0,0,0,1,0,1,1
Strain_0084,1,0,0,1,1,1,0,0,0,0,0,1,1
Strain_0085,1,0,0,0,1,1,0,1,0,0,0,0,0
Strain_0086,0,0,0,1,0,1,0,0,1,1,0,1,1
Strain_0087,0,0,0,0,1,1,1,0,0,0,0,0,0
Strain_0088,0,1,0,1,0,0,0,0,1,0,0,1,1
Strain_0089,0,0,0,0,0,0,1,0,0,1,0,0,1
Strain_0090,0,0,0,1,0,0,0,1,1,0,0,1,0
Strain_0091,0,0,1,1,0,1,1,0,1,0,1,1,0
Strain_0092,0,1,0,0,1,0,0,0,1,1,0,0,0
Strain_0093,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0094,0,0,1,1,0,0,1,1,1,1,1,0,0
Strain_0095,0,1,0,0,0,1,0,1,0,1,1,0,1
Strain_0096,1,1,0,1,0,0,0,0,1,0,0,1,1
Strain_0097,0,1,1,0,0,1,0,0,0,0,1,1,0
Strain_0098,0,0,0,0,1,0,1,0,1,1,0,0,0
Strain_0099,0,0,1,0,0,0,0,0,1,1,0,1,0
Strain_0100,0,0,1,0,0,0,0,0,0,1,1,1,1
Strain_0101,0,0,1,0,1,0,0,1,1,1,1,1,0
Strain_0102,0,0,0,1,0,1,1,0,1,0,0,0,0
Strain_0103,0,0,1,1,1,1,0,1,0,1,0,1,1
Strain_0104,0,1,0,1,0,1,0,0,0,0,0,1,0
Strain_0105,0,1,0,1,0,1,0,0,0,1,0,1,1
Strain_0106,0,0,0,0,1,0,0,1,1,0,0,0,0
Strain_0107,1,0,1,0,1,0,0,0,0,1,0,1,1
Strain_0108,1,1,1,0,0,1,0,0,1,1,1,1,1
Strain_0109,1,0,1,0,1,1,0,0,0,1,0,1,0
Strain_0110,0,1,1,0,1,1,0,0,0,0,0,0,0
Strain_0111,0,0,1,1,1,0,0,0,0,0,0,0,0
Strain_0112,0,0,1,0,1,0,1,0,0,1,1,1,0
