Strain_ID,Virulence_01,Virulence_02,Virulence_03,Virulence_04,Virulence_05,Virulence_06,Virulence_07,Virulence_08,Virulence_09,Virulence_10,Virulence_11,Virulence_12,Virulence_13,Virulence_14,Virulence_15,Virulence_16,Virulence_17,Virulence_18,Virulence_19,Virulence_20
Strain_0001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_0002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0003,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0004,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Strain_0005,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Strain_0006,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Strain_0007,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Strain_0008,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Strain_0009,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Strain_0010,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_0011,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
Strain_0012,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Strain_0013,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0014,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Strain_0015,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Strain_0016,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Strain_0017,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Strain_0018,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
Strain_0019,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Strain_0020,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0021,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Strain_0022,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1
Strain_0023,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Strain_0024,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Strain_0025,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0026,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0027,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
Strain_0028,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0
Strain_0029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Strain_0030,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Strain_0031,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Strain_0033,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
Strain_0034,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Strain_0035,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Strain_0036,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Strain_0037,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Strain_0038,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Strain_0039,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Strain_0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0041,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
Strain_0042,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Strain_0043,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
Strain_0044,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0045,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0046,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0047,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0048,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Strain_0049,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Strain_0050,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Strain_0051,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0052,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Strain_0053,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0054,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Strain_0055,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Strain_0056,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Strain_0057,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
Strain_0058,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0059,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Strain_0060,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Strain_0061,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
Strain_0062,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Strain_0063,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Strain_0064,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0
Strain_0065,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0066,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0067,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0068,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Strain_0069,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Strain_0070,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Strain_0071,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Strain_0072,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
Strain_0073,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1
Strain_0074,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Strain_0075,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Strain_0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0077,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
Strain_0078,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0079,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0
Strain_0080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
